"","treat","Annualinc","Annualexp","redeff","age","distance","weights"
"3",0,1040400,881661,158739,44,0.0164718296070353,1
"6",1,643200,493899,149301,37,0.0555316121282107,1
"19",0,1117200,803227,313973,36,0.025313758610739,1
"20",1,584400,403115,181285,25,0.143054317064601,1
"29",1,411600,325860,85740,41,0.0617938740371072,1
"50",0,954000,740267,213733,54,0.00853839371071781,1
"54",0,573600,402513,171087,46,0.0312055976533376,1
"56",0,422400,286119,136281,21,0.236767304493912,1
"67",0,424800,321604,103196,23,0.21076708323833,1
"73",1,1212000,874492,337508,50,0.0071142364257009,1
"76",1,775200,579170,196030,37,0.043785109305117,1
"89",0,1168800,940038,228762,49,0.00866494098636841,1
"94",0,1000800,784722,216078,40,0.0235376644608357,1
"100",0,435600,340486,95114,20,0.250178996440493,1
"105",1,681600,477373,204227,37,0.0510291958108927,1
"109",1,484800,359431,125369,33,0.097197055416925,1
"112",0,890400,639615,250785,51,0.011894615001531,1
"113",0,543600,428439,115161,20,0.215020372739999,1
"139",0,492000,361242,130758,24,0.178206356635695,1
"148",1,1064400,706243,358157,41,0.0184657985811066,1
"175",1,1130400,809907,320493,47,0.0104526614073492,1
"178",0,441600,329949,111651,21,0.232500255150934,1
"200",0,360000,275781,84219,23,0.231624586651039,1
"207",1,474000,316221,157779,32,0.104949905870392,1
"222",1,1047600,780582,267018,47,0.0123232294178607,1
"226",0,417600,315146,102454,25,0.187508311184278,1
"232",1,1402800,1037791,365009,28,0.028302706812303,1
"240",1,544800,416153,128647,33,0.0882490007970004,1
"252",0,609600,454664,154936,22,0.170031523950687,1
"265",0,716400,506165,210235,48,0.0206283771419548,1
"276",0,1236000,854070,381930,44,0.0107533891835344,1
"287",1,512400,389305,123095,33,0.0931125178043923,1
"290",0,1279200,937167,342033,20,0.0644790801827773,1
"307",0,573600,460570,113030,21,0.193710678259626,1
"308",1,645600,477488,168112,27,0.113953138309031,1
"309",0,379200,259672,119528,22,0.237303752138662,1
"310",1,1426800,1112659,314141,46,0.0067749743493365,1
"311",1,625200,456545,168655,26,0.12608643413021,1
"319",1,580800,455104,125696,26,0.136934174906943,1
"323",0,1426800,1074991,351809,25,0.034406019711417,1
"327",0,436800,357839,78961,24,0.196067467225345,1
"358",1,409200,323994,85206,49,0.0338527566369812,1
"359",0,468000,363353,104647,23,0.198359301500139,1
"366",1,670800,473786,197014,37,0.0520960306961584,1
"369",1,858000,603650,254350,29,0.0680774256002274,1
"370",0,1063200,752880,310320,21,0.0860353531605461,1
"382",0,507600,405017,102583,21,0.213115309461556,1
"386",1,903600,689820,213780,32,0.0512437121983084,1
"392",1,742800,594751,148049,35,0.0547439361692224,1
"398",0,375600,283703,91897,23,0.226256210177257,1
"400",0,412800,319144,93656,24,0.201829325178871,1
"411",0,478800,409118,69682,20,0.238095701117784,1
"424",0,385200,276702,108498,26,0.183714335703165,1
"443",0,504000,376986,127014,24,0.175365097303983,1
"445",1,1422000,1103344,318656,49,0.00538117099911395,1
"446",0,1358400,1053425,304975,26,0.0364273560977396,1
"460",0,634800,509779,125021,43,0.0360589131601992,1
"477",0,463200,356932,106268,24,0.187206584863615,1
"500",0,559200,383438,175762,23,0.170103391453868,1
"503",1,1142400,885111,257289,25,0.0574158438178317,1
"519",0,490800,392982,97818,22,0.205160821789234,1
"523",0,567600,409877,157723,22,0.180504450945118,1
"535",0,445200,324934,120266,20,0.245165322141133,1
"545",0,484800,352235,132565,21,0.217835364362494,1
"549",0,724800,597239,127561,35,0.0568379358732359,1
"550",0,462000,314245,147755,20,0.237755136175843,1
"555",0,717600,554620,162980,52,0.0153500454395655,1
"557",1,440400,328598,111802,32,0.112437088553426,1
"562",0,373200,279801,93399,21,0.255958259027904,1
"565",0,416400,310093,106307,25,0.187593208084905,1
"572",0,1423200,1121723,301477,34,0.0175842590357337,1
"574",1,908400,661985,246415,28,0.0677179842231407,1
"585",0,414000,306826,107174,26,0.176344664881351,1
"593",1,1225200,896093,329107,32,0.0285179421155477,1
"595",0,387600,303879,83721,23,0.223164626483979,1
"598",0,390000,269010,120990,55,0.0216964792430403,1
"624",0,523200,412726,110474,44,0.0405450729498071,1
"630",0,366000,265149,100851,48,0.0390741413065886,1
"634",1,1276800,973092,303708,44,0.0103349520365827,1
"635",1,1110000,849170,260830,35,0.0282667775200137,1
"645",0,402000,306586,95414,27,0.168679692040979,1
"653",0,490800,331050,159750,22,0.201139869444523,1
"658",0,435600,340852,94748,24,0.195401674805239,1
"664",1,1189200,868992,320208,29,0.038297758934129,1
"669",0,474000,369873,104127,20,0.237116564402228,1
"681",0,488400,337292,151108,22,0.202375319980208,1
"683",1,837600,638130,199470,48,0.0168190627765257,1
"686",0,582000,430294,151706,47,0.0286970827272879,1
"689",1,709200,522678,186522,27,0.102495438336311,1
"708",1,1305600,994798,310802,28,0.0340908247704208,1
"709",1,1207200,861924,345276,35,0.0231674323310673,1
"714",0,729600,514185,215415,31,0.0734470857891599,1
"723",1,976800,761710,215090,29,0.0568393919654399,1
"742",0,994800,738408,256392,40,0.0234080059025817,1
"745",0,424800,345618,79182,21,0.240162486749926,1
"751",1,1148400,896032,252368,46,0.0112601483252722,1
"754",0,547200,378606,168594,21,0.197481949424666,1
"761",0,618000,442414,175586,34,0.0716425158572737,1
"771",0,818400,576017,242383,46,0.0199775936833071,1
"779",0,662400,485492,176908,43,0.0337303509835891,1
"797",0,421200,332550,88650,20,0.255434451632169,1
"799",1,1180800,988517,192283,46,0.0109021791276079,1
"835",0,1437600,1071171,366429,39,0.0113008724717483,1
"846",1,507600,363053,144547,42,0.0478160472340868,1
"856",0,1023600,737532,286068,38,0.025719084755046,1
"858",1,823200,610311,212889,46,0.0200446501594676,1
"862",0,432000,338873,93127,21,0.236855514733615,1
"868",0,554400,370113,184287,22,0.182356907771815,1
"872",0,514800,366938,147862,24,0.171454324564882,1
"882",1,408000,296611,111389,50,0.0310944291283616,1
"887",0,562800,443587,119213,20,0.209127863197157,1
"908",0,1036800,721318,315482,23,0.0774337852014222,1
"924",1,1038000,691018,346982,40,0.0209793238675396,1
"940",0,648000,469301,178699,20,0.181929699496801,1
"942",0,376800,303677,73123,28,0.165016858100129,1
"943",1,510000,391529,118471,33,0.0936254719307282,1
"951",0,430800,296520,134280,42,0.0545409968016705,1
"971",0,481200,340926,140274,24,0.180429374701203,1
"975",0,410400,291913,118487,22,0.227625670956887,1
"989",0,1244400,872980,371420,38,0.0170306586602624,1
"1000",0,608400,478910,129490,52,0.0187725901674369,1
"1001",1,531600,386617,144983,35,0.0774494793690996,1
"1013",1,650400,515037,135363,45,0.0299957656196001,1
"1029",0,368400,286206,82194,28,0.166549122832519,1
"1038",0,409200,311846,97354,27,0.166809929760565,1
"1061",0,487200,347502,139698,20,0.230418803902829,1
"1076",0,386400,284546,101854,27,0.172178790501785,1
"1077",0,1076400,808426,267974,47,0.0117194899357755,1
"1081",0,398400,310661,87739,27,0.169999935694702,1
"1087",0,380400,285313,95087,26,0.185791199831882,1
"1090",0,687600,486706,200894,24,0.130177778031656,1
"1095",1,678000,544098,133902,36,0.0568385400250504,1
"1097",1,1046400,779623,266777,48,0.0114176227599009,1
"1105",0,531600,468860,62740,23,0.183740802803017,1
"1144",0,363600,259245,104355,26,0.189713117575024,1
"1187",0,1190400,965971,224429,21,0.072329042217243,1
"1190",0,944400,748376,196024,41,0.0241761290822459,1
"1199",0,458400,352512,105888,23,0.200967558402879,1
"1220",0,738000,602877,135123,23,0.132174179738348,1
"1222",0,536400,397910,138490,22,0.189916308207863,1
"1234",1,711600,507246,204354,26,0.108930407829755,1
"1240",0,638400,480028,158372,21,0.173962743278335,1
"1247",0,439200,350765,88435,25,0.182648588552437,1
"1254",1,984000,744964,239036,28,0.0599860511652082,1
"1258",1,572400,411578,160822,43,0.0395094514986358,1
"1259",0,454800,389011,65789,25,0.179939862876491,1
"1266",0,675600,503529,172071,29,0.0941469037955993,1
"1268",0,368400,294073,74327,24,0.215962109753235,1
"1316",1,1137600,859007,278593,45,0.0122813816795386,1
"1345",0,495600,340016,155584,22,0.200059182108749,1
"1357",1,412800,297977,114823,45,0.0451438185402161,1
"1367",1,706800,547238,159562,48,0.0213923081156294,1
"1401",0,1088400,777647,310753,41,0.018052846465244,1
"1408",0,379200,269751,109449,23,0.223928111800072,1
"1437",0,1227600,936182,291418,35,0.0228495506540273,1
"1445",0,466800,345507,121293,23,0.197633001396273,1
"1451",0,1182000,945500,236500,25,0.0542000131563295,1
"1453",1,1267200,827179,440021,48,0.00726451937143867,1
"1460",0,403200,310017,93183,39,0.072457014507202,1
"1461",0,1129200,806795,322405,32,0.0336536806350953,1
"1466",0,360000,244344,115656,20,0.274195726776234,1
"1468",1,813600,653202,160398,41,0.0306363394184318,1
"1481",0,451200,327061,124139,21,0.228627798230715,1
"1488",0,394800,273278,121522,23,0.218386308373561,1
"1493",1,855600,623138,232462,29,0.0689057945331433,1
"1497",1,698400,530472,167928,26,0.112647797747471,1
"1513",0,691200,517248,173952,23,0.139981243596475,1
"1522",0,386400,298576,87824,22,0.237321985602804,1
"1524",0,538800,396982,141818,30,0.10991168645611,1
"1527",0,525600,411606,113994,34,0.0850888520300292,1
"1539",0,652800,474235,178565,41,0.0399252601257025,1
"1551",1,1184400,902663,281737,26,0.0492125262694326,1
"1556",0,678000,539417,138583,21,0.165309040941894,1
"1558",0,1345200,1189580,155620,45,0.00899788548250929,1
"1561",0,573600,440107,133493,21,0.192432026352013,1
"1567",1,607200,457825,149375,50,0.0218087918137,1
"1571",0,644400,473539,170861,21,0.17174355686982,1
"1576",0,404400,299558,104842,20,0.259821964942382,1
"1577",0,825600,619584,206016,21,0.129554820468619,1
"1618",0,613200,430988,182212,21,0.17898967128894,1
"1626",1,368400,272989,95411,29,0.155115590025464,1
"1630",1,949200,693875,255325,38,0.029547027223851,1
"1645",1,484800,368357,116443,26,0.15854714979553,1
"1650",0,1014000,787056,226944,34,0.0363982304354445,1
"1655",0,480000,330829,149171,24,0.180212707849124,1
"1661",1,706800,482972,223828,41,0.0358200776653845,1
"1669",0,858000,600624,257376,41,0.027354407179862,1
"1700",0,518400,405298,113102,43,0.0440596407309947,1
"1702",0,852000,570605,281395,48,0.0158849770004778,1
"1706",1,759600,543895,215705,38,0.0413405876563672,1
"1707",0,564000,443761,120239,46,0.0323504941793902,1
"1715",0,546000,398131,147869,21,0.199137735431805,1
"1746",1,1285200,819061,466139,43,0.0103306386167518,1
"1748",0,480000,362308,117692,21,0.220294612726892,1
"1752",1,902400,654376,248024,37,0.03464275563885,1
"1755",0,382800,313960,68840,26,0.18674946492611,1
"1758",0,372000,266940,105060,30,0.143729838241145,1
"1759",1,468000,307416,160584,37,0.0736978078009391,1
"1771",0,1228800,895393,333407,20,0.0702407416937954,1
"1774",1,627600,495171,132429,37,0.0573474165237112,1
"1794",0,1116000,847863,268137,42,0.016191524645566,1
"1798",1,1414800,1136150,278650,49,0.00553676442143383,1
"1804",1,574800,434569,140231,42,0.0428027588684236,1
"1805",0,662400,483278,179122,21,0.166842630778549,1
"1817",0,489600,328849,160751,24,0.177063341878755,1
"1836",1,477600,336087,141513,27,0.148557278953676,1
"1858",0,410400,310730,99670,24,0.202118311886312,1
"1864",0,1150800,899268,251532,33,0.0308804969269423,1
"1870",0,462000,352441,109559,21,0.226330129058779,1
"1872",0,518400,377549,140851,23,0.182513992330902,1
"1889",0,914400,697820,216580,52,0.0106923301940029,1
"1903",1,1046400,740247,306153,50,0.00960524509685309,1
"1910",0,1178400,915457,262943,28,0.0430256856950278,1
"1915",0,372000,283572,88428,25,0.200886765653999,1
"1939",0,468000,295371,172629,25,0.170408615291236,1
"1954",0,1051200,757952,293248,32,0.0388268761283699,1
"1961",1,708000,533112,174888,48,0.0212202881657782,1
"1964",1,690000,514782,175218,33,0.0686069201914748,1
"1976",1,735600,583912,151688,37,0.0475832873982982,1
"1992",1,637200,518000,119200,47,0.0264544238160628,1
"1994",0,6e+05,419941,180059,22,0.170985334203458,1
"2004",1,1022400,790384,232016,44,0.0165066614434727,1
"2015",1,438000,334028,103972,25,0.182032975687864,1
"2061",1,817200,616959,200241,46,0.0203530941408359,1
"2064",1,608400,415334,193066,48,0.0249861330769893,1
"2081",1,745200,558209,186991,46,0.0231464835084605,1
"2100",0,759600,540072,219528,29,0.0808962800067819,1
"2102",0,463200,341871,121329,20,0.239298353306635,1
"2118",1,1136400,779539,356861,42,0.0150936628954126,1
"2140",0,541200,446254,94946,20,0.217105912925739,1
"2146",1,402000,323660,78340,29,0.148419296908957,1
"2148",1,456000,366469,89531,47,0.036398814007165,1
"2149",1,1062000,764391,297609,42,0.0175645734976256,1
"2157",0,512400,400530,111870,23,0.185840026186267,1
"2175",0,622800,435458,187342,54,0.0153114071231234,1
"2178",1,768000,540332,227668,44,0.025584052940898,1
"2212",1,1414800,961624,453176,49,0.00516438348222709,1
"2220",0,594000,455899,138101,46,0.0305321317799805,1
"2224",1,1243200,876258,366942,48,0.00779767686965337,1
"2244",0,464400,366426,97974,54,0.0208291815114229,1
"2246",0,441600,351150,90450,21,0.234021067864602,1
"2254",0,546000,406094,139906,44,0.0385790294512951,1
"2268",0,416400,300563,115837,60,0.0140625580167376,1
"2273",0,519600,390973,128627,20,0.221270887211075,1
"2275",0,368400,277680,90720,25,0.201753147227683,1
"2278",0,672000,533446,138554,20,0.178099504481606,1
"2280",0,481200,369735,111465,25,0.170607186270373,1
"2282",1,1282800,923675,359125,44,0.0100054028018758,1
"2288",0,495600,349342,146258,23,0.188218493258707,1
"2290",0,613200,429132,184068,22,0.167507555043705,1
"2296",0,654000,438480,215520,32,0.0771344836846621,1
"2308",1,684000,477750,206250,36,0.054756171945904,1
"2336",0,448800,351838,96962,20,0.245728193627651,1
"2337",1,1078800,796512,282288,39,0.0216871449574682,1
"2340",1,1353600,1063178,290422,38,0.0145658115915679,1
"2355",0,655200,477340,177860,37,0.0538525123030961,1
"2383",1,612000,455181,156819,28,0.112343238252858,1
"2386",0,489600,335685,153915,25,0.166162319856077,1
"2400",0,465600,349878,115722,21,0.224796506260973,1
"2412",0,513600,366153,147447,20,0.221782081170724,1
"2419",1,1298400,900077,398323,26,0.0388791524895368,1
"2431",0,490800,358139,132661,20,0.229801376440924,1
"2436",0,1018800,739462,279338,22,0.0868864743605918,1
"2443",0,441600,366795,74805,21,0.235147753386168,1
"2448",0,500400,397677,102723,22,0.202114121681529,1
"2450",1,579600,438262,141338,48,0.0267808248204486,1
"2460",1,1141200,886947,254253,39,0.0197008403797944,1
"2475",1,1099200,765819,333381,45,0.0128432910033893,1
"2491",0,535200,410506,124694,21,0.203676176743032,1
"2492",0,871200,685489,185711,24,0.0984130096809574,1
"2498",1,529200,407463,121737,46,0.0342946822454754,1
"2501",0,693600,551705,141895,60,0.00860977356250862,1
"2504",1,1002000,644515,357485,48,0.0118946339426932,1
"2507",0,829200,595801,233399,50,0.0143994908721177,1
"2511",0,885600,645305,240295,34,0.0449358197073803,1
"2513",0,1236000,978883,257117,46,0.00965526214827499,1
"2520",0,982800,798549,184251,49,0.0121761577922182,1
"2551",0,1357200,1070010,287190,45,0.00836314522809419,1
"2552",1,1016400,786185,230215,34,0.0362052256570603,1
"2559",0,532800,352773,180027,22,0.188328764715387,1
"2573",0,517200,421833,95367,24,0.1738612185838,1
"2590",0,1227600,864950,362650,47,0.00868355053081199,1
"2602",1,1368000,1009613,358387,31,0.0238742956494415,1
"2605",0,642000,492263,149737,21,0.173554407665775,1
"2608",0,416400,309854,106546,26,0.175771214050122,1
"2622",0,384000,275589,108411,47,0.0407943226935635,1
"2627",1,1287600,979988,307612,38,0.0162119589656467,1
"2630",0,540000,375395,164605,30,0.108816688914435,1
"2642",0,457200,335534,121666,22,0.213318001438608,1
"2665",0,490800,354823,135977,58,0.0143489784925295,1
"2666",0,504000,365626,138374,23,0.186459257872333,1
"2681",0,1014000,747283,266717,52,0.0088180558941785,1
"2684",1,891600,671253,220347,48,0.0151981473520947,1
"2699",0,805200,653938,151262,31,0.0665065141034886,1
"2712",1,1026000,758129,267871,49,0.0109300019631372,1
"2714",0,1172400,816836,355564,54,0.00551830304091183,1
"2717",0,463200,331757,131443,24,0.185675042677086,1
"2740",1,1150800,934151,216649,48,0.00971879117835682,1
"2742",1,382800,285953,96847,30,0.141817091820087,1
"2767",0,471600,331785,139815,21,0.221300138575638,1
"2779",0,406800,271997,134803,25,0.188416185595543,1
"2783",0,414000,313863,100137,23,0.21413838344798,1
"2785",1,529200,393511,135689,41,0.0499142453687028,1
"2806",0,1008000,757644,250356,48,0.0122821847442296,1
"2819",0,514800,382485,132315,23,0.183970397653673,1
"2833",0,454800,348669,106131,20,0.243107617333525,1
"2847",0,1032000,841247,190753,27,0.0608208073873902,1
"2850",0,760800,578688,182112,42,0.0307660289185873,1
"2862",0,438000,327112,110888,25,0.181620318851411,1
"2866",1,1315200,1104774,210426,50,0.00625335478680779,1
"2869",0,392400,317123,75277,21,0.250968299228242,1
"2890",0,658800,483707,175093,21,0.167946956636471,1
"2891",0,517200,392415,124785,24,0.172173005730644,1
"2909",0,976800,751676,225124,36,0.0332740477954813,1
"2926",1,792000,577000,215000,29,0.0769034536469674,1
"2927",0,535200,406974,128226,21,0.203446509187051,1
"2956",0,990000,733846,256154,47,0.0136726445298272,1
"2996",1,1360800,1087314,273486,39,0.0133912592839267,1
"2998",1,1227600,927284,300316,28,0.0390465253127504,1
"3009",0,1324800,996880,327920,29,0.0303543395701137,1
"3010",0,891600,707045,184555,48,0.0154145100461282,1
"3038",0,778800,635054,143746,57,0.00939721445791553,1
"3054",0,426000,322147,103853,20,0.252685069320582,1
"3062",1,363600,281362,82238,35,0.103586208382352,1
"3063",0,694800,522515,172285,25,0.121321810926004,1
"3066",0,1258800,972893,285907,29,0.0345061516423098,1
"3069",1,1034400,812791,221609,47,0.0128366764626425,1
"3123",0,412800,344704,68096,23,0.216665566579638,1
"3140",0,645600,462780,182820,20,0.182309852838304,1
"3146",1,631200,446417,184783,47,0.0260507483842316,1
"3151",0,378000,258122,119878,21,0.252350925527566,1
"3156",1,968400,686867,281533,44,0.0177651143202649,1
"3161",1,520800,383336,137464,28,0.130168243346807,1
"3163",1,1147200,809764,337436,28,0.0440579505012956,1
"3167",1,1096800,839249,257551,46,0.0122872234271243,1
"3171",0,974400,736366,238034,51,0.0103356609040604,1
"3175",1,1225200,951898,273302,48,0.00835084820800764,1
"3177",0,566400,390226,176174,24,0.157477371996,1
"3198",1,380400,304353,76047,37,0.0875568490927832,1
"3207",0,500400,398144,102256,45,0.0391600467566663,1
"3209",0,471600,345291,126309,24,0.183768692953259,1
"3219",0,1231200,824040,407160,20,0.0680660684093019,1
"3223",1,699600,523158,176442,36,0.0539657004085968,1
"3236",0,573600,451146,122454,41,0.0465868202834504,1
"3249",1,1303200,1060159,243041,40,0.0138437182372765,1
"3273",0,508800,392988,115812,22,0.198913248899266,1
"3276",0,576000,420214,155786,23,0.167100443421736,1
"3282",0,483600,358048,125552,25,0.169217215605159,1
"3294",0,943200,646688,296512,47,0.0145891609573735,1
"3345",1,709200,498999,210201,33,0.0656226610152046,1
"3354",1,1341600,986202,355398,40,0.0123908583727976,1
"3361",1,885600,604850,280750,50,0.0128197185709371,1
"3365",0,423600,337962,85638,24,0.199310895771137,1
"3366",0,574800,403079,171721,22,0.177823594090798,1
"3371",0,364800,288452,76348,27,0.179139478053908,1
"3385",0,531600,369265,162335,24,0.166506000247933,1
"3396",1,784800,584362,200438,49,0.0170300123108686,1
"3403",1,666000,494799,171201,25,0.126852788812284,1
"3425",1,735600,589324,146276,26,0.1071231328221,1
"3432",0,429600,308121,121479,25,0.18318167951148,1
"3434",0,1064400,852351,212049,54,0.0070520240260491,1
"3438",0,825600,613705,211895,31,0.0628733765849774,1
"3459",0,495600,378052,117548,21,0.215645484158117,1
"3473",1,578400,413753,164647,30,0.102460215633375,1
"3477",0,422400,329035,93365,24,0.199151895302467,1
"3492",1,1110000,847056,262944,39,0.0207139417477683,1
"3503",1,1198800,932341,266459,40,0.0164239121935407,1
"3504",0,414000,308214,105786,33,0.109402295161458,1
"3513",0,536400,385792,150608,21,0.201656908070349,1
"3514",1,619200,466743,152457,27,0.119365944608193,1
"3515",1,852000,664665,187335,45,0.0208299748194095,1
"3529",0,829200,612986,216214,43,0.0250122352987404,1
"3538",0,361200,271453,89747,25,0.203855771357675,1
"3557",0,1262400,918111,344289,31,0.028745342658078,1
"3563",0,676800,534420,142380,20,0.176648469175816,1
"3574",0,1096800,872346,224454,44,0.0145620115080924,1
"3578",0,841200,647678,193522,36,0.042335246411875,1
"3585",1,882000,652985,229015,41,0.0265499810536002,1
"3606",0,591600,428883,162717,46,0.0303648064109909,1
"3607",0,427200,291200,136000,23,0.20789350296655,1
"3618",0,444000,312973,131027,26,0.167501141275733,1
